title,link,first_paragraph,page_length,para_length,article_id
Natitingou,https://fr.wikipedia.org/wiki/Natitingou,"Natitingou est une ville du nord-ouest du Bénin, chef-lieu de la commune du même nom et préfecture d",17617.0,100,1
Parc national de la Pendjari,https://fr.wikipedia.org/wiki/Parc_national_de_la_Pendjari,"Le parc national de la Pendjari (PNP) est une aire protégée du Bénin, située à l'extrême nord-ouest ",11167.0,100,2
Batammariba,https://fr.wikipedia.org/wiki/Batammariba,"Les Batammariba2,3 ou Bètãmmaribè (au singulier Otãmmari) constituent une population d'Afrique de l'",10042.0,100,3
Temple des Pythons,https://fr.wikipedia.org/wiki/Temple_des_Pythons,"Le temple des Pythons est un sanctuaire vaudou situé à Ouidah (Bénin), dans un lieu où l'existence d",8052.0,100,4
Parc national du W du Bénin,https://fr.wikipedia.org/wiki/Parc_national_du_W_du_B%C3%A9nin,"Le parc national du W est une aire protégée du Bénin, constituée par la réserve de biosphère transfr",7669.0,100,5
Péhunco,https://fr.wikipedia.org/wiki/P%C3%A9hunco,Pehunco (ou Ouassa-Péhunco) est une ville du nord-ouest du Bénin et l'une des neuf préfectures du dé,4831.0,100,6
Ouidah,https://fr.wikipedia.org/wiki/Ouidah,"Ouidah, autrefois également appelée Ajudá2 est une commune du Bénin, située à 42 kilomètres de Coton",3914.0,100,7
Abomey-Calavi,https://fr.wikipedia.org/wiki/Abomey-Calavi,"Abomey-Calavi (à ne pas confondre avec Abomey) est une ville du sud du Bénin, chef-lieu de la commun",3654.0,100,8
Boukoumbé,https://fr.wikipedia.org/wiki/Boukoumb%C3%A9,"Boukoumbé (ou Boukombé) est l'une des neuf communes du département de l'Atacora, au nord-ouest du Bé",3586.0,100,9
Forêt classée de la Lama,https://fr.wikipedia.org/wiki/For%C3%AAt_class%C3%A9e_de_la_Lama,"La forêt classée de la Lama est une aire protégée du Bénin, classée en 1946, située au sud du pays, ",3361.0,100,10
Malanville,https://fr.wikipedia.org/wiki/Malanville,"Malanville est une ville du Bénin située au nord-est du pays, au bord du fleuve Niger, à la frontièr",3218.0,100,11
Ganvié,https://fr.wikipedia.org/wiki/Ganvi%C3%A9,"Ganvié est une cité lacustre du sud du Bénin, située sur le lac Nokoué au nord de la métropole de Co",3028.0,100,12
Allada,https://fr.wikipedia.org/wiki/Allada,"Allada est une ville et une commune du sud du Bénin, rattachée au département de l'Atlantique.",2947.0,94,13
Chutes de Kota,https://fr.wikipedia.org/wiki/Chutes_de_Kota,Les chutes de Kota (ou chutes de la Kota) forment un chapelet de cascades à l'est de la chaîne de l',2781.0,100,14
Tanguiéta,https://fr.wikipedia.org/wiki/Tangui%C3%A9ta,"Tanguiéta est une ville du nord-ouest du Bénin, chef-lieu de la commune du même nom, située dans le ",2744.0,100,15
Festival Ouidah 92,https://fr.wikipedia.org/wiki/Festival_Ouidah_92,"Le Festival Ouidah 92 est le premier festival mondial des arts et cultures vodun, organisé du 8 au 1",2683.0,100,16
Matéri,https://fr.wikipedia.org/wiki/Mat%C3%A9ri,"Matéri est une ville du nord-ouest du Bénin, chef-lieu de la commune du même nom et préfecture du dé",2609.0,100,17
Segbana,https://fr.wikipedia.org/wiki/Segbana,"Ségbana est une ville située au nord-est du Bénin, chef-lieu de la commune du même nom, dans le dépa",2517.0,100,18
Cobly,https://fr.wikipedia.org/wiki/Cobly,"Cobly (ou Kobli) est une ville du nord-ouest du Bénin, chef-lieu de la commune du même nom et préfec",2443.0,100,19
Koalou,https://fr.wikipedia.org/wiki/Koalou,Koalou est une commune rurale qui est l'enjeu d'un litige de souveraineté entre le Burkina Faso et l,2434.0,100,20
Tanongou,https://fr.wikipedia.org/wiki/Tanongou,"Tanongou (ou Tanougou) est un village du département de l'Atacora, situé dans le Nord-Ouest du Bénin",2349.0,100,21
Fort portugais de Ouidah,https://fr.wikipedia.org/wiki/Fort_portugais_de_Ouidah,"Le Fort portugais de Ouidah, ou Fort Saint-Jean-Baptiste-d'Ajuda, est un ancien fort défensif situé ",2318.0,100,22
Kouandé,https://fr.wikipedia.org/wiki/Kouand%C3%A9,Kouandé est une commune du département de l'Atacora au nord-ouest du Bénin.,2268.0,75,23
Villa Ajavon,https://fr.wikipedia.org/wiki/Villa_Ajavon,"La villa Ajavon est un bâtiment historique du xixe siècle situé dans la commune de Ouidah, dans le d",2212.0,100,24
Grand Séminaire Saint-Gall de Ouidah,https://fr.wikipedia.org/wiki/Grand_S%C3%A9minaire_Saint-Gall_de_Ouidah,Le Grand Séminaire Saint-Gall de Ouidah est un séminaire catholique situé au sud du Bénin dans la vi,1954.0,100,25
Manta (Bénin),https://fr.wikipedia.org/wiki/Manta_(B%C3%A9nin),"Manta est l'un des sept arrondissements de la commune de Boukoumbé, dans le département de l'Atacora",1914.0,100,26
Échangeur de Godomey,https://fr.wikipedia.org/wiki/%C3%89changeur_de_Godomey,L'échangeur de Godomey est un échangeur autoroutier situé à Godomey dans la commune d'Abomey-Calavi ,1886.0,100,27
Gogounou,https://fr.wikipedia.org/wiki/Gogounou,"Gogounou est une ville située au nord du Bénin, chef-lieu de la commune du même nom, dans le départe",1777.0,100,28
Togbin-Daho,https://fr.wikipedia.org/wiki/Togbin-Daho,"Togbin-Daho est une localité du Bénin, située dans la commune d'Abomey-Calavi, l'arrondissement de G",1737.0,100,29
Dassari (Bénin),https://fr.wikipedia.org/wiki/Dassari_(B%C3%A9nin),Dassari est l'un des six arrondissements de la commune de Matéri dans le département de l'Atacora au,1573.0,100,30
Banikoara,https://fr.wikipedia.org/wiki/Banikoara,Banikoara est une commune du Bénin située dans le département de l'Alibori.,1449.0,75,31
Cathédrale Notre-Dame-du-Mont-Carmel de Kandi,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-du-Mont-Carmel_de_Kandi,La cathédrale Notre-Dame-du-Mont-Carmel de Kandi est le principal sanctuaire catholique de la ville ,1365.0,100,32
Festival international du film de Ouidah,https://fr.wikipedia.org/wiki/Festival_international_du_film_de_Ouidah,Quintessence – ou Festival international du film de Ouidah – est un festival de cinéma fondé par le ,1060.0,100,33
Avlékété,https://fr.wikipedia.org/wiki/Avl%C3%A9k%C3%A9t%C3%A9,Avlékété est un arrondissement du Bénin situé dans le département de l'Atlantique et la commune de O,1010.0,100,34
Karimama (Bénin),https://fr.wikipedia.org/wiki/Karimama_(B%C3%A9nin),"Karimama est une ville située au nord-est du Bénin, chef-lieu de la commune du même nom, dans le dép",965.0,100,35
Tori-Gare,https://fr.wikipedia.org/wiki/Tori-Gare,"Tori-Gare est un arrondissement et une localité situés au sud du Bénin, dans la commune de Tori-Boss",925.0,100,36
Kandi,https://fr.wikipedia.org/wiki/Kandi,"Kandi est une ville située au nord du Bénin, chef-lieu de la commune du même nom et préfecture du dé",915.0,100,37
Forêt classée de la Sota,https://fr.wikipedia.org/wiki/For%C3%AAt_class%C3%A9e_de_la_Sota,Vous pouvez partager vos connaissances en l’améliorant (comment ?) selon les recommandations des pro,905.0,100,38
Atacora,https://fr.wikipedia.org/wiki/Atacora,L'Atacora est un département situé au nord-ouest du Bénin. Il est limitrophe du Togo à l'ouest et du,882.0,100,39
Golo-Djigbé,https://fr.wikipedia.org/wiki/Golo-Djigb%C3%A9,"Golo-Djigbé est un arrondissement de la commune d'Abomey-Calavi, situé dans le département de l'Atla",859.0,100,40
Porte du non-retour,https://fr.wikipedia.org/wiki/Porte_du_non-retour,"La Porte du non-retour est un arc mémorial en béton et bronze dans la ville d'Ouidah, au Bénin. L'ar",685.0,100,41
Kouaba,https://fr.wikipedia.org/wiki/Kouaba,"Kouaba est l'un des neuf arrondissements de la commune de Natitingou, dans le département de l'Ataco",665.0,100,42
Sô-Tchanhoué,https://fr.wikipedia.org/wiki/S%C3%B4-Tchanhou%C3%A9,"Sô-Tchanhoué est un village semi-lacustre du sud-est du Bénin, situé sur la rive septentrionale du l",629.0,100,43
Zogbadjè,https://fr.wikipedia.org/wiki/Zogbadj%C3%A8,Le quartier zogbadjè ou Agori-Zogbadjè est un quartier d'Abomey-Calavi2dans le département de l'Atla,628.0,100,44
Chutes de Tanougou,https://fr.wikipedia.org/wiki/Chutes_de_Tanougou,"Les chutes ou cascades de Tanougou sont des chutes d'eau situées à Tanougou, un village du départeme",614.0,100,45
Gomparou,https://fr.wikipedia.org/wiki/Gomparou,"Gomparou est un arrondissement du département de l'Alibori, au nord du Bénin.",597.0,77,46
Sompérékou,https://fr.wikipedia.org/wiki/Somp%C3%A9r%C3%A9kou,Sompérékou ou Somprékou ou encore Sompéroukou est un des dix arrondissements de de la commune de Ban,593.0,100,47
Goumori,https://fr.wikipedia.org/wiki/Goumori,"Goumori2 est un arrondissement du département de l'Alibori, au nord du Bénin. C'est une division adm",580.0,100,48
Kassakou,https://fr.wikipedia.org/wiki/Kassakou,Kassakou est un arrondissement sous la tutelle de la commune de Kandi dans le département de l'Alibo,558.0,100,49
Ounet,https://fr.wikipedia.org/wiki/Ounet,Ounet ou Ouné est un arrondissement situé dans département de l'Alibori au nord du Bénin. C'est une ,554.0,100,50
Toura (Bénin),https://fr.wikipedia.org/wiki/Toura_(B%C3%A9nin),"Toura est un arrondissement du département de l'Alibori, au nord du Bénin. C'est une division admini",548.0,100,51
Alibori,https://fr.wikipedia.org/wiki/Alibori,"L'Alibori est un département situé au nord-est du Bénin. Il est limitrophe du Burkina Faso, du Niger",539.0,100,52
Soroko (Bénin),https://fr.wikipedia.org/wiki/Soroko_(B%C3%A9nin),Soroko est un arrondissement situé dans département de l'Alibori au nord du Bénin. C'est une divisio,533.0,100,53
Natta (Bénin),https://fr.wikipedia.org/wiki/Natta_(B%C3%A9nin),Natta est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'Atacora ,506.0,100,54
Aérodrome de Kandi,https://fr.wikipedia.org/wiki/A%C3%A9rodrome_de_Kandi,"JOURNÉE INTERNATIONALE DES MUSÉES
Aidez-nous à compléter la connaissance libre sur les thèmes cultur",502.0,100,55
Kossoucoingou,https://fr.wikipedia.org/wiki/Kossoucoingou,Kossoucoingou est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l',499.0,100,56
Taiakou,https://fr.wikipedia.org/wiki/Taiakou,Taiakou est l'un des cinq arrondissements de la commune de Tanguiéta dans le département de l'Atacor,496.0,100,57
Tantéga,https://fr.wikipedia.org/wiki/Tant%C3%A9ga,Tantéga est l'un des six arrondissements de la commune de Matéri dans le département de l'Atacora au,493.0,100,58
Bodjecali,https://fr.wikipedia.org/wiki/Bodjecali,Bodjecali est un quartier de la commune de Malanville situé au nord-est du Bénin dans le département,492.0,100,59
Tabota,https://fr.wikipedia.org/wiki/Tabota,Tabota est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'Atacora,491.0,100,60
Guilmaro,https://fr.wikipedia.org/wiki/Guilmaro,Guilmaro est l'un des six arrondissements de la commune de Kouande dans le département de l'Atacora ,489.0,100,61
Oroukayo,https://fr.wikipedia.org/wiki/Oroukayo,Oroukayo est l'un des six arrondissements de la commune de Kouande dans le département de l'Atacora ,489.0,100,62
Nazoumé,https://fr.wikipedia.org/wiki/Nazoum%C3%A9,"Nazoumé est un village situé au sud du Bénin, dans le département de l'Atlantique, la commune de Kpo",484.0,100,63
Tassi tedji,https://fr.wikipedia.org/wiki/Tassi_tedji,Tassi tedji est un quartier de la commune de Malanville dans le département de l'Alibori situé au no,484.0,100,64
Place Chacha (Ouidah),https://fr.wikipedia.org/wiki/Place_Chacha_(Ouidah),La Place Chacha (ou place des enchères) - Chacha étant le surnom de Francisco Félix de Souza représe,477.0,100,65
Sô-Ava,https://fr.wikipedia.org/wiki/S%C3%B4-Ava,"Sô-Ava est une ville du sud-est du Bénin, chef-lieu de la commune du même nom et préfecture du dépar",474.0,100,66
Bensékou,https://fr.wikipedia.org/wiki/Bens%C3%A9kou,"Bensékou est une localité située au nord-est du Bénin, dans l'arrondissement du même nom, la commune",470.0,100,67
Tobré,https://fr.wikipedia.org/wiki/Tobr%C3%A9,Tobré est l'un des trois arrondissements de la commune de Péhunco dans le département de l'Atacora a,467.0,100,68
Natitingou III,https://fr.wikipedia.org/wiki/Natitingou_III,Natitingou III est l'un des neuf arrondissements de la commune de Natitingou dans le département de ,466.0,100,69
Kountori,https://fr.wikipedia.org/wiki/Kountori,Kountori est l'un des sept arrondissements de la commune de Cobly dans le département de l'Atacora a,462.0,100,70
Gouandé,https://fr.wikipedia.org/wiki/Gouand%C3%A9,Gouandé est l'un des six arrondissements de la commune de Matéri dans le département de l'Atacora au,462.0,100,71
Natitingou I,https://fr.wikipedia.org/wiki/Natitingou_I,Natitingou I est l'un des neuf arrondissements de la commune de Natitingou dans le département de l',462.0,100,72
Kantaborifa,https://fr.wikipedia.org/wiki/Kantaborifa,Kantaborifa est un quartier de l'arrondissement de Natitingou III dans commune de Natitingou du dépa,461.0,100,73
Natitingou IV,https://fr.wikipedia.org/wiki/Natitingou_IV,Natitingou IV est l'un des neuf arrondissements de la commune de Natitingou dans le département de l,461.0,100,74
Brignamaro,https://fr.wikipedia.org/wiki/Brignamaro,Brignamaro est l'un des quatre arrondissements de la commune de Kérou dans le département de l'Ataco,459.0,100,75
Chabi-Couma,https://fr.wikipedia.org/wiki/Chabi-Couma,Chabi-Couma est l'un des six arrondissements de la commune de Kouande dans le département de l'Ataco,454.0,100,76
Banigourou,https://fr.wikipedia.org/wiki/Banigourou,Banigourou est un quartier situé dans le deuxième arrondissement de Kandi dans le département de l'A,454.0,100,77
Tchoumi-Tchoumi,https://fr.wikipedia.org/wiki/Tchoumi-Tchoumi,Tchoumi-tchoumi est l'un des neuf arrondissements de la commune de Natitingou dans le département de,454.0,100,78
N'Dahonta,https://fr.wikipedia.org/wiki/N%27Dahonta,N'Dahonta est l'un des cinq arrondissements de la commune de Tanguiéta dans le département de l'Atac,451.0,100,79
Perma,https://fr.wikipedia.org/wiki/Perma,Perma est l'un des neuf arrondissements de la commune de Natitingou dans le département de l'Atacora,451.0,100,80
Kouarfa,https://fr.wikipedia.org/wiki/Kouarfa,Kouarfa est l'un des trois arrondissements de la commune de Toucountouna dans le département de l'At,450.0,100,81
Natitingou II,https://fr.wikipedia.org/wiki/Natitingou_II,Natitingou II est l'un des neuf arrondissements de la commune de Natitingou dans le département de l,448.0,100,82
Founougo,https://fr.wikipedia.org/wiki/Founougo,Founougo est un des dix arrondissement de de la commune de Banikoara située dans le département de l,448.0,100,83
Tchianhoun-Cossi,https://fr.wikipedia.org/wiki/Tchianhoun-Cossi,Tchianhoun-Cossi est l'un des six arrondissements de la commune de Matéri dans le département de l'A,448.0,100,84
Korontière,https://fr.wikipedia.org/wiki/Koronti%C3%A8re,Korontière est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'Ata,447.0,100,85
Nodi,https://fr.wikipedia.org/wiki/Nodi,Nodi est l'un des six arrondissements de la commune de Matéri dans le département de l'Atacora au Bé,440.0,100,86
Birni,https://fr.wikipedia.org/wiki/Birni,Birni est l'un des six arrondissements de la commune de Kouande dans le département de l'Atacora au ,436.0,100,87
Tampégré,https://fr.wikipedia.org/wiki/Tamp%C3%A9gr%C3%A9,Tampégré est l'un des trois arrondissements de la commune de Toucountouna dans le département de l'A,434.0,100,88
Kouandata,https://fr.wikipedia.org/wiki/Kouandata,Kouandata est l'un des neuf arrondissements de la commune de Natitingou dans le département de l'Ata,433.0,100,89
Cotiacou,https://fr.wikipedia.org/wiki/Cotiacou,Cotiacou est l'un des cinq arrondissements de la commune de Tanguiéta dans le département de l'Ataco,429.0,100,90
Gnémasson,https://fr.wikipedia.org/wiki/Gn%C3%A9masson,Gnémasson est l'un des trois arrondissements de la commune de Péhunco dans le département de l'Ataco,427.0,100,91
Dipoli (Bénin),https://fr.wikipedia.org/wiki/Dipoli_(B%C3%A9nin),Dipoli est l'un des sept arrondissements de la commune de Boukoumbé dans le département de l'Atacora,423.0,100,92
Firou,https://fr.wikipedia.org/wiki/Firou,Firou est l'un des quatre arrondissements de la commune de Kérou dans le département de l'Atacora au,422.0,100,93
Fô-Tancé,https://fr.wikipedia.org/wiki/F%C3%B4-Tanc%C3%A9,Fô-Tancé est l'un des six arrondissements de la commune de Kouande dans le département de l'Atacora ,407.0,100,94
Tapoga,https://fr.wikipedia.org/wiki/Tapoga,Tapoga est l'un des sept arrondissements de la commune de Cobly dans le département de l'Atacora au ,401.0,100,95
Datori,https://fr.wikipedia.org/wiki/Datori,Datori est l'un des sept arrondissements de la commune de Cobly dans le département de l'Atacora au ,400.0,100,96
Koabagou,https://fr.wikipedia.org/wiki/Koabagou,Koabagou est l'un des quatre arrondissements de la commune de Kérou dans le département de l'Atacora,398.0,100,97
Atlantique (département),https://fr.wikipedia.org/wiki/Atlantique_(d%C3%A9partement),"L'Atlantique est un département situé au sud du Bénin. En 1999, le département du Littoral – c'est-à",398.0,100,98
Godomey,https://fr.wikipedia.org/wiki/Godomey,"Godomey est un arrondissement de la commune d'Abomey-Calavi, située dans le département de l'Atlanti",394.0,100,99
Kérou,https://fr.wikipedia.org/wiki/K%C3%A9rou,"Kérou est une ville du nord du Bénin, chef-lieu de la commune du même nom et préfecture du départeme",386.0,100,100
Tori-Bossito,https://fr.wikipedia.org/wiki/Tori-Bossito,"Tori-Bossito est une ville du sud du Bénin, chef-lieu de la commune du même nom. Elle est située dan",377.0,100,101
Zoungou-Pantrossi,https://fr.wikipedia.org/wiki/Zoungou-Pantrossi,Zoungou-Pantrossi est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est,363.0,100,102
Gounarou,https://fr.wikipedia.org/wiki/Gounarou,Gounarou est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est une divi,355.0,100,103
Bagou (Bénin),https://fr.wikipedia.org/wiki/Bagou_(B%C3%A9nin),Bagou est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est une divisio,352.0,100,104
Ouara (Bénin),https://fr.wikipedia.org/wiki/Ouara_(B%C3%A9nin),Ouara est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est une divisio,351.0,100,105
Chutes de Koudou,https://fr.wikipedia.org/wiki/Chutes_de_Koudou,Les chutes de Koudou sont des chutes d'eau au Bénin situées dans le Parc W qui traverse trois pays :,346.0,100,106
Sori (Bénin),https://fr.wikipedia.org/wiki/Sori_(B%C3%A9nin),Sori est une ville et un arrondissement dans l'Alibori dans le nord-est du Bénin. C'est une division,327.0,100,107
Toucountouna,https://fr.wikipedia.org/wiki/Toucountouna,"Toucountouna est une ville du nord-ouest du Bénin, chef-lieu de la commune du même nom et préfecture",257.0,100,108
Porga,https://fr.wikipedia.org/wiki/Porga,"Porga est un village de l'arrondissement de Dassari, dans la commune de Matéri et situé dans le dépa",252.0,100,109
Kpomassè,https://fr.wikipedia.org/wiki/Kpomass%C3%A8,"Kpomassè est une ville du sud-ouest du Bénin, chef-lieu de la commune du même nom et préfecture du d",239.0,100,110
Zè,https://fr.wikipedia.org/wiki/Z%C3%A8,"Zè est une ville du sud du Bénin, chef-lieu de la commune du même nom et préfecture du département d",228.0,100,111
Toffo,https://fr.wikipedia.org/wiki/Toffo,"Toffo est une ville du sud du Bénin, chef-lieu de la commune du même nom et préfecture du départemen",196.0,100,112
Derou Garou,https://fr.wikipedia.org/wiki/Derou_Garou,Derou Garou est un village de l'arrondissement de Banikoara dans l'Alibori au nord du Bénin.,171.0,92,113
Demanou,https://fr.wikipedia.org/wiki/Demanou,Demanou est un village de l'arrondissement de Banikoara dans l'Alibori au nord du Bénin2.,168.0,89,114
Kotapounga,https://fr.wikipedia.org/wiki/Kotapounga,Selon le recensement de la population de 2013 conduit par l'Institut national de la statistique et d,168.0,100,115
Arbonga,https://fr.wikipedia.org/wiki/Arbonga,Arbonga est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.,150.0,94,116
Sekou,https://fr.wikipedia.org/wiki/Sekou,"Sékou est un arrondissement du sud du Bénin, situé dans le département de l'Atlantique, à 45 km de l",149.0,100,117
Kori Ginguiri,https://fr.wikipedia.org/wiki/Kori_Ginguiri,"Kori Ginguiri est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin.
",137.0,100,118
Weterou,https://fr.wikipedia.org/wiki/Weterou,"Weterou est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.
La po",132.0,100,119
Tokey Banta,https://fr.wikipedia.org/wiki/Tokey_Banta,Tokey Banta ou Toké-Banta est un village de l'arrondissement de Banikoara dans l'Alibori dans le nor,111.0,100,120
Sépounga,https://fr.wikipedia.org/wiki/S%C3%A9pounga,Sépounga est un village de l’Atacora au Bénin. Il fait partie de la commune de Tanguiéta[réf. nécess,106.0,100,121
Orou Gnonrou,https://fr.wikipedia.org/wiki/Orou_Gnonrou,Orou Gnonrou est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.,99.0,99,122
Yadikparou,https://fr.wikipedia.org/wiki/Yadikparou,Yadikparou est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.,97.0,97,123
Kokire,https://fr.wikipedia.org/wiki/Kokire,Kokire est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin.,92.0,92,124
Kommon,https://fr.wikipedia.org/wiki/Kommon,Kommon est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin.,92.0,92,125
Wagou,https://fr.wikipedia.org/wiki/Wagou,Wagou est un village de l'arrondissement de Banikoara dans l'Alibori dans le nord du Bénin2.,92.0,92,126
